"from","to"
"Musabayev, Talgat","Skripochka, Oleg"
"Budarin, Nikolai","Kaleri, Aleksandr"
"Budarin, Nikolai","Musabayev, Talgat"
"Budarin, Nikolai","Kelly, Scott J."
"Budarin, Nikolai","Skripochka, Oleg"
"Kelly, Scott J.","Kaleri, Aleksandr"
"Kelly, Scott J.","Musabayev, Talgat"
"Kelly, Scott J.","Budarin, Nikolai"
"Kelly, Scott J.","Skripochka, Oleg"
"Skripochka, Oleg","Kaleri, Aleksandr"
"Skripochka, Oleg","Musabayev, Talgat"
"Skripochka, Oleg","Budarin, Nikolai"
"Skripochka, Oleg","Kelly, Scott J."
"Avdeyev, Sergei","Coleman, Catherine G."
"Avdeyev, Sergei","Padalka, Gennady"
"Avdeyev, Sergei","Baturin, Yuri"
"Avdeyev, Sergei","Nespoli, Paolo A."
"Avdeyev, Sergei","Kondratyev, Dmitri"
"Coleman, Catherine G.","Avdeyev, Sergei"
"Coleman, Catherine G.","Padalka, Gennady"
"Coleman, Catherine G.","Baturin, Yuri"
"Coleman, Catherine G.","Nespoli, Paolo A."
"Coleman, Catherine G.","Kondratyev, Dmitri"
